# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
   20.921843687    0.066671105    0.066674035    0.066674715
   20.981963928    0.063139678    0.063142773    0.063143305
   21.042084168    0.055483376    0.055485770    0.055485680
   21.102204409    0.046228345    0.046230032    0.046229130
   21.162324649    0.043252069    0.043253549    0.043251534
   21.222444890    0.044051530    0.044053252    0.044050599
   21.282565130    0.042511772    0.042513882    0.042511428
   21.342685371    0.042652975    0.042655597    0.042652717
   21.402805611    0.045466322    0.045468766    0.045465672
   21.462925852    0.040339648    0.040340517    0.040338587
   21.523046092    0.033161859    0.033161960    0.033161206
   21.583166333    0.030369268    0.030369946    0.030369791
   21.643286573    0.032469871    0.032471557    0.032471758
   21.703406814    0.039158474    0.039161875    0.039162263
   21.763527054    0.051692769    0.051698386    0.051699506
   21.823647295    0.064776139    0.064783311    0.064785124
   21.883767535    0.058925968    0.058931197    0.058932798
   21.943887776    0.047657289    0.047659428    0.047660888
   22.004008016    0.046762149    0.046762368    0.046764018
   22.064128257    0.052981867    0.052982009    0.052983452
   22.124248497    0.054279835    0.054280540    0.054281465
   22.184368737    0.050028513    0.050029989    0.050030650
   22.244488978    0.047675026    0.047678036    0.047678460
   22.304609218    0.051070060    0.051074853    0.051075253
   22.364729459    0.049806225    0.049810761    0.049810854
   22.424849699    0.047526827    0.047529551    0.047527991
   22.484969940    0.049355236    0.049355721    0.049352651
   22.545090180    0.048306833    0.048305698    0.048301922
   22.605210421    0.041543022    0.041541300    0.041538538
   22.665330661    0.035084691    0.035083353    0.035081746
   22.725450902    0.030165110    0.030164791    0.030162851
   22.785571142    0.025554383    0.025553886    0.025552320
   22.845691383    0.023738478    0.023737348    0.023736660
   22.905811623    0.025019568    0.025018018    0.025018291
   22.965931864    0.027888264    0.027886979    0.027887523
   23.026052104    0.030913781    0.030912747    0.030913597
   23.086172345    0.033734802    0.033734222    0.033735520
   23.146292585    0.033428246    0.033428159    0.033430006
   23.206412826    0.031087507    0.031087754    0.031090545
   23.266533066    0.034184636    0.034185227    0.034189733
   23.326653307    0.039200467    0.039200800    0.039206450
   23.386773547    0.036031792    0.036031452    0.036036461
   23.446893788    0.032006355    0.032005832    0.032011064
   23.507014028    0.034066929    0.034066162    0.034073727
   23.567134269    0.040844227    0.040842757    0.040853464
   23.627254509    0.045324400    0.045323006    0.045331484
   23.687374749    0.048027583    0.048027072    0.048030391
   23.747494990    0.048916737    0.048917083    0.048916379
   23.807615230    0.046024363    0.046025009    0.046021985
   23.867735471    0.040643087    0.040642655    0.040641206
   23.927855711    0.035892296    0.035892210    0.035892485
   23.987975952    0.035955124    0.035955925    0.035957266
   24.048096192    0.040711166    0.040713203    0.040715637
   24.108216433    0.044731719    0.044735683    0.044739252
   24.168336673    0.045229634    0.045235563    0.045240241
   24.228456914    0.050898024    0.050905201    0.050914024
   24.288577154    0.059052754    0.059057614    0.059067852
   24.348697395    0.063339609    0.063345883    0.063351839
   24.408817635    0.059437679    0.059452533    0.059452105
   24.468937876    0.045055301    0.045068025    0.045066131
   24.529058116    0.033650025    0.033656789    0.033655696
   24.589178357    0.028978579    0.028980832    0.028980384
   24.649298597    0.027323237    0.027322483    0.027322344
   24.709418838    0.027145086    0.027142885    0.027143983
   24.769539078    0.029542311    0.029538399    0.029541783
   24.829659319    0.030724161    0.030717532    0.030724090
   24.889779559    0.027008244    0.027001135    0.027008376
   24.949899800    0.022401569    0.022397223    0.022401838
   25.010020040    0.019474224    0.019471949    0.019474562
   25.070140281    0.018398336    0.018396982    0.018398748
   25.130260521    0.019065608    0.019064001    0.019066199
   25.190380762    0.019340143    0.019337408    0.019340814
   25.250501002    0.021105931    0.021101289    0.021106730
   25.310621242    0.024609916    0.024603424    0.024611042
   25.370741483    0.029220524    0.029211953    0.029221921
   25.430861723    0.032517267    0.032504223    0.032518679
   25.490981964    0.030987056    0.030972629    0.030988297
   25.551102204    0.026172284    0.026163971    0.026174040
   25.611222445    0.023865304    0.023862631    0.023867967
   25.671342685    0.023029964    0.023030363    0.023033070
   25.731462926    0.020018090    0.020018703    0.020020518
   25.791583166    0.017832554    0.017832864    0.017834367
   25.851703407    0.018616311    0.018616393    0.018617743
   25.911823647    0.020389315    0.020388632    0.020389726
   25.971943888    0.020682700    0.020681558    0.020682664
   26.032064128    0.020146959    0.020145220    0.020147446
   26.092184369    0.020665852    0.020663353    0.020667460
   26.152304609    0.020855359    0.020853762    0.020859258
   26.212424850    0.019263710    0.019263652    0.019267303
   26.272545090    0.017285803    0.017286382    0.017288388
   26.332665331    0.014653819    0.014654668    0.014655904
   26.392785571    0.012937022    0.012938437    0.012939271
   26.452905812    0.013233501    0.013235856    0.013236318
   26.513026052    0.014611714    0.014614078    0.014614032
   26.573146293    0.016320008    0.016321417    0.016321111
   26.633266533    0.017020196    0.017021105    0.017020736
   26.693386774    0.017061219    0.017062135    0.017061953
   26.753507014    0.016796162    0.016796574    0.016796879
   26.813627255    0.019041348    0.019041066    0.019041906
   26.873747495    0.021896579    0.021896259    0.021897168
   26.933867735    0.020571563    0.020572138    0.020572957
   26.993987976    0.020481817    0.020483605    0.020484785
   27.054108216    0.022460843    0.022464064    0.022466220
   27.114228457    0.020121168    0.020124121    0.020126819
   27.174348697    0.015233315    0.015234873    0.015236991
   27.234468938    0.011394939    0.011395739    0.011397159
   27.294589178    0.008913014    0.008913386    0.008914361
   27.354709419    0.007601640    0.007601715    0.007602499
   27.414829659    0.006998545    0.006998324    0.006999092
   27.474949900    0.006917292    0.006916639    0.006917562
   27.535070140    0.007215822    0.007214607    0.007215827
   27.595190381    0.007132411    0.007131261    0.007132509
   27.655310621    0.006818138    0.006817632    0.006818683
   27.715430862    0.007008517    0.007008574    0.007009594
   27.775551102    0.007159333    0.007159643    0.007160580
   27.835671343    0.006845617    0.006845806    0.006846569
   27.895791583    0.006919051    0.006919119    0.006919795
   27.955911824    0.007461754    0.007461730    0.007462367
   28.016032064    0.008528197    0.008528131    0.008528732
   28.076152305    0.010442516    0.010442363    0.010442982
   28.136272545    0.011666312    0.011665954    0.011666858
   28.196392786    0.012016885    0.012016369    0.012018040
   28.256513026    0.013185441    0.013184456    0.013188606
   28.316633267    0.015519652    0.015516674    0.015525367
   28.376753507    0.017818806    0.017811831    0.017824457
   28.436873747    0.016991793    0.016985585    0.016995634
   28.496993988    0.014273711    0.014270533    0.014275758
   28.557114228    0.011806362    0.011803908    0.011807139
   28.617234469    0.010023160    0.010020235    0.010023127
   28.677354709    0.008885036    0.008882867    0.008884958
   28.737474950    0.008504338    0.008503090    0.008504407
   28.797595190    0.008509242    0.008508282    0.008509271
   28.857715431    0.008802441    0.008801198    0.008802269
   28.917835671    0.009329776    0.009328471    0.009329319
   28.977955912    0.009096661    0.009095599    0.009095987
   29.038076152    0.008323106    0.008322233    0.008322191
   29.098196393    0.008365832    0.008364968    0.008364453
   29.158316633    0.007956043    0.007955349    0.007954842
   29.218436874    0.007567366    0.007567034    0.007567009
   29.278557114    0.007947192    0.007947225    0.007947571
   29.338677355    0.007340640    0.007340827    0.007341253
   29.398797595    0.006201979    0.006201996    0.006202410
   29.458917836    0.005726604    0.005726453    0.005726927
   29.519038076    0.005892960    0.005892644    0.005893290
   29.579158317    0.006781449    0.006780870    0.006781889
   29.639278557    0.008780694    0.008779674    0.008781367
   29.699398798    0.011675300    0.011674027    0.011676171
   29.759519038    0.013466973    0.013466323    0.013467894
   29.819639279    0.012942227    0.012942617    0.012943480
   29.879759519    0.010205041    0.010205541    0.010206108
   29.939879760    0.007669428    0.007669696    0.007670078
   30.000000000    0.006070611    0.006070719    0.006071037
